2024-02-01 13:37:43,560 INFO    StreamThr :1624600 [internal.py:wandb_internal():86] W&B internal server running at pid: 1624600, started at: 2024-02-01 13:37:43.560455
2024-02-01 13:37:43,562 DEBUG   HandlerThread:1624600 [handler.py:handle_request():146] handle_request: status
2024-02-01 13:37:43,566 INFO    WriterThread:1624600 [datastore.py:open_for_write():85] open: /home/judy/code/Fed-Time-Series-Forecasting/wandb/run-20240201_133743-iewsz4kq/run-iewsz4kq.wandb
2024-02-01 13:37:43,566 DEBUG   SenderThread:1624600 [sender.py:send():380] send: header
2024-02-01 13:37:43,572 DEBUG   SenderThread:1624600 [sender.py:send():380] send: run
2024-02-01 13:37:43,843 DEBUG   HandlerThread:1624600 [handler.py:handle_request():146] handle_request: check_version
2024-02-01 13:37:43,873 INFO    SenderThread:1624600 [dir_watcher.py:__init__():211] watching files in: /home/judy/code/Fed-Time-Series-Forecasting/wandb/run-20240201_133743-iewsz4kq/files
2024-02-01 13:37:43,873 INFO    SenderThread:1624600 [sender.py:_start_run_threads():1122] run started: iewsz4kq with start time 1706823463.560383
2024-02-01 13:37:43,873 DEBUG   SenderThread:1624600 [sender.py:send_request():407] send_request: check_version
2024-02-01 13:37:44,038 DEBUG   HandlerThread:1624600 [handler.py:handle_request():146] handle_request: run_start
2024-02-01 13:37:44,047 DEBUG   HandlerThread:1624600 [system_info.py:__init__():32] System info init
2024-02-01 13:37:44,047 DEBUG   HandlerThread:1624600 [system_info.py:__init__():47] System info init done
2024-02-01 13:37:44,048 INFO    HandlerThread:1624600 [system_monitor.py:start():194] Starting system monitor
2024-02-01 13:37:44,048 INFO    SystemMonitor:1624600 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-01 13:37:44,048 INFO    HandlerThread:1624600 [system_monitor.py:probe():214] Collecting system info
2024-02-01 13:37:44,064 INFO    SystemMonitor:1624600 [interfaces.py:start():190] Started cpu monitoring
2024-02-01 13:37:44,069 INFO    SystemMonitor:1624600 [interfaces.py:start():190] Started disk monitoring
2024-02-01 13:37:44,069 INFO    SystemMonitor:1624600 [interfaces.py:start():190] Started gpu monitoring
2024-02-01 13:37:44,070 INFO    SystemMonitor:1624600 [interfaces.py:start():190] Started memory monitoring
2024-02-01 13:37:44,072 INFO    SystemMonitor:1624600 [interfaces.py:start():190] Started network monitoring
2024-02-01 13:37:44,085 DEBUG   HandlerThread:1624600 [system_info.py:probe():196] Probing system
2024-02-01 13:37:44,087 DEBUG   HandlerThread:1624600 [system_info.py:_probe_git():181] Probing git
2024-02-01 13:37:44,100 DEBUG   HandlerThread:1624600 [system_info.py:_probe_git():189] Probing git done
2024-02-01 13:37:44,100 DEBUG   HandlerThread:1624600 [system_info.py:probe():244] Probing system done
